통계기준년월,읍면동,차종,계,비사업용 소계,비사업용 경형,비사업용 소형,비사업용 중형,비사업용 대형,사업용 소계,사업용 경형,사업용 소형,사업용 중형,사업용 대형,테이터기준일자
2021-09,목행동,특수,37,26,0,11,8,7,11,0,1,1,9,2021-09-30
2021-09,용탄동,승용,199,199,20,8,97,74,0,0,0,0,0,2021-09-30
2021-09,용탄동,승합,21,21,0,2,16,3,0,0,0,0,0,2021-09-30
2021-09,용탄동,화물,166,164,1,109,36,18,2,0,0,1,1,2021-09-30
2021-09,용탄동,특수,6,6,0,3,1,2,0,0,0,0,0,2021-09-30
2021-09,종민동,승용,127,127,21,2,67,37,0,0,0,0,0,2021-09-30
2021-09,종민동,승합,5,5,0,0,5,0,0,0,0,0,0,2021-09-30
2021-09,종민동,화물,43,43,0,41,2,0,0,0,0,0,0,2021-09-30
2021-09,안림동,승용,4209,4184,545,53,2398,1188,25,0,0,19,6,2021-09-30
2021-09,안림동,승합,174,131,5,0,118,8,43,0,0,7,36,2021-09-30
2021-09,안림동,화물,592,557,5,466,65,21,35,0,14,6,15,2021-09-30
2021-09,안림동,특수,31,18,0,11,4,3,13,0,0,6,7,2021-09-30
2021-09,목벌동,승용,76,76,6,1,42,27,0,0,0,0,0,2021-09-30
2021-09,목벌동,승합,7,7,0,0,6,1,0,0,0,0,0,2021-09-30
2021-09,목벌동,화물,42,41,0,38,3,0,1,0,1,0,0,2021-09-30
2021-09,충의동,승용,118,116,5,2,77,32,2,0,0,1,1,2021-09-30
2021-09,충의동,승합,6,6,1,0,5,0,0,0,0,0,0,2021-09-30
2021-09,충의동,화물,46,46,5,34,6,1,0,0,0,0,0,2021-09-30
2021-09,지현동,승용,1906,1879,248,35,1210,386,27,0,0,23,4,2021-09-30
2021-09,지현동,승합,79,79,5,3,69,2,0,0,0,0,0,2021-09-30
2021-09,지현동,화물,398,377,4,332,37,4,21,0,12,5,4,2021-09-30
2021-09,지현동,특수,12,5,0,5,0,0,7,0,2,3,2,2021-09-30
2021-09,문화동,승용,3815,3741,444,77,2267,953,74,0,0,54,20,2021-09-30
2021-09,문화동,승합,328,169,4,4,158,3,159,0,0,33,126,2021-09-30
2021-09,문화동,화물,762,709,11,605,74,19,53,0,27,10,16,2021-09-30
2021-09,문화동,특수,29,10,0,7,3,0,19,0,7,5,7,2021-09-30
2021-09,금릉동,승용,2416,2259,243,42,1253,721,157,3,0,115,39,2021-09-30
2021-09,금릉동,승합,190,160,7,2,147,4,30,0,0,17,13,2021-09-30
2021-09,금릉동,화물,581,559,10,443,60,46,22,0,5,3,14,2021-09-30
2021-09,금릉동,특수,15,11,0,9,2,0,4,0,0,1,3,2021-09-30
2021-09,주덕읍,승용,2192,2183,259,50,1266,608,9,0,0,7,2,2021-09-30
2021-09,주덕읍,승합,108,108,4,12,91,1,0,0,0,0,0,2021-09-30
2021-09,주덕읍,화물,1021,987,10,786,133,58,34,0,13,4,17,2021-09-30
2021-09,주덕읍,특수,17,10,0,7,2,1,7,0,1,2,4,2021-09-30
2021-09,살미면,승용,792,784,104,19,461,200,8,0,0,6,2,2021-09-30
2021-09,살미면,승합,39,39,2,3,34,0,0,0,0,0,0,2021-09-30
